PA_ID,electorate,votes,non_votes,con_votes,lab_votes,libdem_votes,green_votes,ukip_votes,plaid_votes,other_votes
1,49821,31523,18298,3742,15416,1397,711,4971,3663,1623
2,45525,30148,15377,12513,8514,1391,727,3467,3536,0
7,72430,46191,26239,23369,8468,4076,2025,8253,0,0
8,60215,39497,20718,20558,8835,1330,826,7751,0,197
9,71511,50517,20994,26771,13481,4235,1983,4047,0,0
10,62016,41314,20702,13197,16540,1733,976,7260,1608,0
11,69510,45717,23793,20106,15901,1360,1087,7263,0,0
16,40492,26837,13655,3521,8122,718,0,2277,11790,409
18,77242,56477,20765,34331,6324,4062,3606,8154,0,0
19,77091,47409,29682,10628,19448,7030,0,10150,0,153
20,85177,57372,27805,30094,10580,3433,2467,10798,0,0
21,68343,38918,29425,8610,19366,943,1531,8468,0,0
22,80315,55419,24896,28083,8391,5885,2135,10925,0,0
26,86420,58008,28412,30749,12354,3440,2686,8050,0,729
28,73977,43041,30936,7019,24826,562,897,9554,0,183
29,64534,36560,27974,5485,20376,770,938,7941,0,1050
30,69135,38517,30618,5622,21079,1217,0,9045,0,1554
31,68338,43275,25063,17525,0,1169,1061,5070,0,18450
32,66347,43028,23319,22668,10186,1636,0,8538,0,0
33,71155,45593,25562,19788,11493,1356,0,12097,0,859
34,79665,53076,26589,25769,14706,3919,0,8290,0,392
35,76796,49289,27507,15122,23965,1331,1006,7865,0,0
36,63084,47167,15917,17833,6216,14000,5634,2922,0,562
37,78373,50479,27894,15769,21826,2396,1232,9080,0,176
38,76111,51031,25080,26730,18792,2241,1682,1586,0,0
39,74726,53163,21563,33621,6074,3927,2231,7310,0,0
40,67439,48803,18636,27955,9484,3378,1878,6108,0,0
41,69311,46086,23225,19625,18528,1958,1412,4434,0,129
42,78501,58060,20441,32544,9217,4193,2462,8966,0,678
43,83551,58672,24879,34891,9247,3418,2537,8579,0,0
44,79285,51304,27981,28212,10399,2646,2106,7941,0,0
49,83298,51424,31874,6051,22146,17657,2023,3254,0,293
50,56969,40423,16546,16603,6042,11689,1488,4513,0,88
52,82727,52924,29803,8070,32387,2395,4906,3219,0,1947
53,80805,52677,28128,25363,13160,2900,1802,8794,0,658
54,78796,55218,23578,30245,7797,4199,2807,10170,0,0
55,64828,43685,21143,20643,11451,1308,950,9182,0,151
