N,age,ethnicity,sex,constituency_id,region
9488,0,0,0,6,South East
1240,1,0,0,6,South East
1103,2,0,0,6,South East
3283,3,0,0,6,South East
3429,4,0,0,6,South East
3454,5,0,0,6,South East
3688,6,0,0,6,South East
3786,7,0,0,6,South East
3814,8,0,0,6,South East
3184,9,0,0,6,South East
2596,10,0,0,6,South East
2728,11,0,0,6,South East
2016,12,0,0,6,South East
1646,13,0,0,6,South East
1152,14,0,0,6,South East
797,15,0,0,6,South East
571,16,0,0,6,South East
9070,0,0,1,6,South East
1185,1,0,1,6,South East
1050,2,0,1,6,South East
2998,3,0,1,6,South East
3417,4,0,1,6,South East
3501,5,0,1,6,South East
3696,6,0,1,6,South East
3761,7,0,1,6,South East
3868,8,0,1,6,South East
3069,9,0,1,6,South East
2669,10,0,1,6,South East
2730,11,0,1,6,South East
2256,12,0,1,6,South East
1734,13,0,1,6,South East
1369,14,0,1,6,South East
1135,15,0,1,6,South East
1267,16,0,1,6,South East
498,0,1,0,6,South East
64,1,1,0,6,South East
70,2,1,0,6,South East
107,3,1,0,6,South East
74,4,1,0,6,South East
105,5,1,0,6,South East
76,6,1,0,6,South East
75,7,1,0,6,South East
49,8,1,0,6,South East
40,9,1,0,6,South East
18,10,1,0,6,South East
16,11,1,0,6,South East
16,12,1,0,6,South East
16,13,1,0,6,South East
1,14,1,0,6,South East
6,15,1,0,6,South East
1,16,1,0,6,South East
480,0,1,1,6,South East
55,1,1,1,6,South East
32,2,1,1,6,South East
94,3,1,1,6,South East
81,4,1,1,6,South East
76,5,1,1,6,South East
83,6,1,1,6,South East
59,7,1,1,6,South East
46,8,1,1,6,South East
22,9,1,1,6,South East
11,10,1,1,6,South East
18,11,1,1,6,South East
14,12,1,1,6,South East
12,13,1,1,6,South East
10,14,1,1,6,South East
4,15,1,1,6,South East
2,16,1,1,6,South East
1168,0,2,0,6,South East
195,1,2,0,6,South East
159,2,2,0,6,South East
481,3,2,0,6,South East
404,4,2,0,6,South East
468,5,2,0,6,South East
440,6,2,0,6,South East
485,7,2,0,6,South East
412,8,2,0,6,South East
274,9,2,0,6,South East
154,10,2,0,6,South East
185,11,2,0,6,South East
178,12,2,0,6,South East
107,13,2,0,6,South East
47,14,2,0,6,South East
20,15,2,0,6,South East
4,16,2,0,6,South East
1071,0,2,1,6,South East
202,1,2,1,6,South East
182,2,2,1,6,South East
483,3,2,1,6,South East
486,4,2,1,6,South East
499,5,2,1,6,South East
552,6,2,1,6,South East
474,7,2,1,6,South East
335,8,2,1,6,South East
236,9,2,1,6,South East
199,10,2,1,6,South East
174,11,2,1,6,South East
108,12,2,1,6,South East
70,13,2,1,6,South East
36,14,2,1,6,South East
18,15,2,1,6,South East
11,16,2,1,6,South East
242,0,3,0,6,South East
21,1,3,0,6,South East
25,2,3,0,6,South East
76,3,3,0,6,South East
148,4,3,0,6,South East
181,5,3,0,6,South East
114,6,3,0,6,South East
83,7,3,0,6,South East
67,8,3,0,6,South East
42,9,3,0,6,South East
16,10,3,0,6,South East
14,11,3,0,6,South East
10,12,3,0,6,South East
14,13,3,0,6,South East
5,14,3,0,6,South East
1,15,3,0,6,South East
1,16,3,0,6,South East
236,0,3,1,6,South East
15,1,3,1,6,South East
19,2,3,1,6,South East
59,3,3,1,6,South East
120,4,3,1,6,South East
150,5,3,1,6,South East
102,6,3,1,6,South East
72,7,3,1,6,South East
72,8,3,1,6,South East
44,9,3,1,6,South East
19,10,3,1,6,South East
24,11,3,1,6,South East
11,12,3,1,6,South East
11,13,3,1,6,South East
7,14,3,1,6,South East
1,15,3,1,6,South East
3,16,3,1,6,South East
60,0,4,0,6,South East
13,1,4,0,6,South East
8,2,4,0,6,South East
38,3,4,0,6,South East
36,4,4,0,6,South East
53,5,4,0,6,South East
49,6,4,0,6,South East
20,7,4,0,6,South East
25,8,4,0,6,South East
13,9,4,0,6,South East
17,10,4,0,6,South East
13,11,4,0,6,South East
11,12,4,0,6,South East
2,13,4,0,6,South East
4,14,4,0,6,South East
2,15,4,0,6,South East
0,16,4,0,6,South East
57,0,4,1,6,South East
10,1,4,1,6,South East
