N,age,ethnicity,sex,constituency_id,region
9488,0,0,0,6,6
1240,1,0,0,6,6
1103,2,0,0,6,6
3283,3,0,0,6,6
3429,4,0,0,6,6
3454,5,0,0,6,6
3688,6,0,0,6,6
3786,7,0,0,6,6
3814,8,0,0,6,6
3184,9,0,0,6,6
2596,10,0,0,6,6
2728,11,0,0,6,6
2016,12,0,0,6,6
1646,13,0,0,6,6
1152,14,0,0,6,6
797,15,0,0,6,6
571,16,0,0,6,6
9070,0,0,1,6,6
1185,1,0,1,6,6
1050,2,0,1,6,6
2998,3,0,1,6,6
3417,4,0,1,6,6
3501,5,0,1,6,6
3696,6,0,1,6,6
3761,7,0,1,6,6
3868,8,0,1,6,6
3069,9,0,1,6,6
2669,10,0,1,6,6
2730,11,0,1,6,6
2256,12,0,1,6,6
1734,13,0,1,6,6
1369,14,0,1,6,6
1135,15,0,1,6,6
1267,16,0,1,6,6
498,0,1,0,6,6
64,1,1,0,6,6
70,2,1,0,6,6
107,3,1,0,6,6
74,4,1,0,6,6
105,5,1,0,6,6
76,6,1,0,6,6
75,7,1,0,6,6
49,8,1,0,6,6
40,9,1,0,6,6
18,10,1,0,6,6
16,11,1,0,6,6
16,12,1,0,6,6
16,13,1,0,6,6
1,14,1,0,6,6
6,15,1,0,6,6
1,16,1,0,6,6
480,0,1,1,6,6
55,1,1,1,6,6
32,2,1,1,6,6
94,3,1,1,6,6
81,4,1,1,6,6
76,5,1,1,6,6
83,6,1,1,6,6
59,7,1,1,6,6
46,8,1,1,6,6
22,9,1,1,6,6
11,10,1,1,6,6
18,11,1,1,6,6
14,12,1,1,6,6
12,13,1,1,6,6
10,14,1,1,6,6
4,15,1,1,6,6
2,16,1,1,6,6
1168,0,2,0,6,6
195,1,2,0,6,6
159,2,2,0,6,6
481,3,2,0,6,6
404,4,2,0,6,6
468,5,2,0,6,6
440,6,2,0,6,6
485,7,2,0,6,6
412,8,2,0,6,6
274,9,2,0,6,6
154,10,2,0,6,6
185,11,2,0,6,6
178,12,2,0,6,6
107,13,2,0,6,6
47,14,2,0,6,6
20,15,2,0,6,6
4,16,2,0,6,6
1071,0,2,1,6,6
202,1,2,1,6,6
182,2,2,1,6,6
483,3,2,1,6,6
486,4,2,1,6,6
499,5,2,1,6,6
552,6,2,1,6,6
474,7,2,1,6,6
335,8,2,1,6,6
236,9,2,1,6,6
199,10,2,1,6,6
174,11,2,1,6,6
108,12,2,1,6,6
70,13,2,1,6,6
36,14,2,1,6,6
18,15,2,1,6,6
11,16,2,1,6,6
242,0,3,0,6,6
21,1,3,0,6,6
25,2,3,0,6,6
76,3,3,0,6,6
148,4,3,0,6,6
181,5,3,0,6,6
114,6,3,0,6,6
83,7,3,0,6,6
67,8,3,0,6,6
42,9,3,0,6,6
16,10,3,0,6,6
14,11,3,0,6,6
10,12,3,0,6,6
14,13,3,0,6,6
5,14,3,0,6,6
1,15,3,0,6,6
1,16,3,0,6,6
236,0,3,1,6,6
15,1,3,1,6,6
19,2,3,1,6,6
59,3,3,1,6,6
120,4,3,1,6,6
150,5,3,1,6,6
102,6,3,1,6,6
72,7,3,1,6,6
72,8,3,1,6,6
44,9,3,1,6,6
19,10,3,1,6,6
24,11,3,1,6,6
11,12,3,1,6,6
11,13,3,1,6,6
7,14,3,1,6,6
1,15,3,1,6,6
