N,age,constituency,ethnicity,sex
9488,0,0,0,0
1240,1,0,0,0
1103,2,0,0,0
3283,3,0,0,0
3429,4,0,0,0
3454,5,0,0,0
3688,6,0,0,0
3786,7,0,0,0
3814,8,0,0,0
3184,9,0,0,0
2596,10,0,0,0
2728,11,0,0,0
2016,12,0,0,0
1646,13,0,0,0
1152,14,0,0,0
797,15,0,0,0
571,16,0,0,0
9070,0,0,0,1
1185,1,0,0,1
1050,2,0,0,1
2998,3,0,0,1
3417,4,0,0,1
3501,5,0,0,1
3696,6,0,0,1
3761,7,0,0,1
3868,8,0,0,1
3069,9,0,0,1
2669,10,0,0,1
2730,11,0,0,1
2256,12,0,0,1
1734,13,0,0,1
1369,14,0,0,1
1135,15,0,0,1
1267,16,0,0,1
498,0,0,1,0
64,1,0,1,0
70,2,0,1,0
107,3,0,1,0
74,4,0,1,0
105,5,0,1,0
76,6,0,1,0
75,7,0,1,0
49,8,0,1,0
40,9,0,1,0
18,10,0,1,0
16,11,0,1,0
16,12,0,1,0
16,13,0,1,0
1,14,0,1,0
6,15,0,1,0
1,16,0,1,0
480,0,0,1,1
55,1,0,1,1
32,2,0,1,1
94,3,0,1,1
81,4,0,1,1
76,5,0,1,1
83,6,0,1,1
59,7,0,1,1
46,8,0,1,1
22,9,0,1,1
11,10,0,1,1
18,11,0,1,1
14,12,0,1,1
12,13,0,1,1
10,14,0,1,1
4,15,0,1,1
2,16,0,1,1
1168,0,0,2,0
195,1,0,2,0
159,2,0,2,0
481,3,0,2,0
404,4,0,2,0
468,5,0,2,0
440,6,0,2,0
485,7,0,2,0
412,8,0,2,0
274,9,0,2,0
154,10,0,2,0
185,11,0,2,0
178,12,0,2,0
107,13,0,2,0
47,14,0,2,0
20,15,0,2,0
4,16,0,2,0
1071,0,0,2,1
202,1,0,2,1
182,2,0,2,1
483,3,0,2,1
486,4,0,2,1
499,5,0,2,1
552,6,0,2,1
474,7,0,2,1
335,8,0,2,1
236,9,0,2,1
199,10,0,2,1
174,11,0,2,1
108,12,0,2,1
70,13,0,2,1
36,14,0,2,1
18,15,0,2,1
11,16,0,2,1
242,0,0,3,0
21,1,0,3,0
25,2,0,3,0
76,3,0,3,0
148,4,0,3,0
181,5,0,3,0
114,6,0,3,0
83,7,0,3,0
67,8,0,3,0
42,9,0,3,0
16,10,0,3,0
14,11,0,3,0
10,12,0,3,0
14,13,0,3,0
5,14,0,3,0
1,15,0,3,0
1,16,0,3,0
236,0,0,3,1
15,1,0,3,1
19,2,0,3,1
59,3,0,3,1
120,4,0,3,1
150,5,0,3,1
102,6,0,3,1
72,7,0,3,1
72,8,0,3,1
44,9,0,3,1
19,10,0,3,1
24,11,0,3,1
11,12,0,3,1
11,13,0,3,1
7,14,0,3,1
1,15,0,3,1
3,16,0,3,1
60,0,0,4,0
13,1,0,4,0
8,2,0,4,0
38,3,0,4,0
36,4,0,4,0
53,5,0,4,0
49,6,0,4,0
20,7,0,4,0
25,8,0,4,0
13,9,0,4,0
17,10,0,4,0
13,11,0,4,0
11,12,0,4,0
2,13,0,4,0
4,14,0,4,0
2,15,0,4,0
0,16,0,4,0
57,0,0,4,1
10,1,0,4,1
13,2,0,4,1
36,3,0,4,1
35,4,0,4,1
30,5,0,4,1
37,6,0,4,1
26,7,0,4,1
17,8,0,4,1
11,9,0,4,1
9,10,0,4,1
6,11,0,4,1
6,12,0,4,1
4,13,0,4,1
1,14,0,4,1
0,15,0,4,1
1,16,0,4,1
6222,0,1,0,0
931,1,1,0,0
815,2,1,0,0
1887,3,1,0,0
1743,4,1,0,0
1631,5,1,0,0
2047,6,1,0,0
2710,7,1,0,0
2811,8,1,0,0
