population_size,sex,age,ethnicity,pa_id
9488,0,0,0,0
1240,0,1,0,0
1103,0,2,0,0
3283,0,3,0,0
3429,0,4,0,0
3454,0,5,0,0
3688,0,6,0,0
3786,0,7,0,0
3814,0,8,0,0
3184,0,9,0,0
2596,0,10,0,0
2728,0,11,0,0
2016,0,12,0,0
1646,0,13,0,0
1152,0,14,0,0
797,0,15,0,0
571,0,16,0,0
9070,1,0,0,0
1185,1,1,0,0
1050,1,2,0,0
2998,1,3,0,0
3417,1,4,0,0
3501,1,5,0,0
3696,1,6,0,0
3761,1,7,0,0
3868,1,8,0,0
3069,1,9,0,0
2669,1,10,0,0
2730,1,11,0,0
2256,1,12,0,0
1734,1,13,0,0
1369,1,14,0,0
1135,1,15,0,0
1267,1,16,0,0
498,0,0,1,0
64,0,1,1,0
70,0,2,1,0
107,0,3,1,0
74,0,4,1,0
105,0,5,1,0
76,0,6,1,0
75,0,7,1,0
49,0,8,1,0
40,0,9,1,0
18,0,10,1,0
16,0,11,1,0
16,0,12,1,0
16,0,13,1,0
1,0,14,1,0
6,0,15,1,0
1,0,16,1,0
480,1,0,1,0
55,1,1,1,0
32,1,2,1,0
94,1,3,1,0
81,1,4,1,0
76,1,5,1,0
83,1,6,1,0
59,1,7,1,0
46,1,8,1,0
22,1,9,1,0
11,1,10,1,0
18,1,11,1,0
14,1,12,1,0
12,1,13,1,0
10,1,14,1,0
4,1,15,1,0
2,1,16,1,0
1168,0,0,2,0
195,0,1,2,0
159,0,2,2,0
481,0,3,2,0
404,0,4,2,0
468,0,5,2,0
440,0,6,2,0
485,0,7,2,0
412,0,8,2,0
274,0,9,2,0
154,0,10,2,0
185,0,11,2,0
178,0,12,2,0
107,0,13,2,0
47,0,14,2,0
20,0,15,2,0
4,0,16,2,0
1071,1,0,2,0
202,1,1,2,0
182,1,2,2,0
483,1,3,2,0
486,1,4,2,0
499,1,5,2,0
552,1,6,2,0
474,1,7,2,0
335,1,8,2,0
236,1,9,2,0
199,1,10,2,0
174,1,11,2,0
108,1,12,2,0
70,1,13,2,0
36,1,14,2,0
18,1,15,2,0
11,1,16,2,0
242,0,0,3,0
21,0,1,3,0
25,0,2,3,0
76,0,3,3,0
148,0,4,3,0
181,0,5,3,0
114,0,6,3,0
83,0,7,3,0
67,0,8,3,0
42,0,9,3,0
16,0,10,3,0
14,0,11,3,0
10,0,12,3,0
14,0,13,3,0
5,0,14,3,0
1,0,15,3,0
1,0,16,3,0
236,1,0,3,0
15,1,1,3,0
19,1,2,3,0
59,1,3,3,0
120,1,4,3,0
150,1,5,3,0
102,1,6,3,0
72,1,7,3,0
72,1,8,3,0
44,1,9,3,0
19,1,10,3,0
24,1,11,3,0
11,1,12,3,0
11,1,13,3,0
7,1,14,3,0
1,1,15,3,0
3,1,16,3,0
60,0,0,4,0
13,0,1,4,0
8,0,2,4,0
38,0,3,4,0
36,0,4,4,0
53,0,5,4,0
49,0,6,4,0
20,0,7,4,0
25,0,8,4,0
13,0,9,4,0
17,0,10,4,0
13,0,11,4,0
11,0,12,4,0
2,0,13,4,0
4,0,14,4,0
2,0,15,4,0
0,0,16,4,0
57,1,0,4,0
10,1,1,4,0
13,1,2,4,0
36,1,3,4,0
35,1,4,4,0
30,1,5,4,0
37,1,6,4,0
26,1,7,4,0
17,1,8,4,0
11,1,9,4,0
9,1,10,4,0
6,1,11,4,0
6,1,12,4,0
4,1,13,4,0
1,1,14,4,0
0,1,15,4,0
1,1,16,4,0
6222,0,0,0,1
931,0,1,0,1
815,0,2,0,1
1887,0,3,0,1
1743,0,4,0,1
1631,0,5,0,1
2047,0,6,0,1
2710,0,7,0,1
2811,0,8,0,1
2427,0,9,0,1
2088,0,10,0,1
2465,0,11,0,1
2222,0,12,0,1
1932,0,13,0,1
1456,0,14,0,1
990,0,15,0,1
644,0,16,0,1
5861,1,0,0,1
869,1,1,0,1
745,1,2,0,1
1691,1,3,0,1
1737,1,4,0,1
1646,1,5,0,1
2150,1,6,0,1
2783,1,7,0,1
2837,1,8,0,1
2546,1,9,0,1
2058,1,10,0,1
2578,1,11,0,1
2561,1,12,0,1
2189,1,13,0,1
1809,1,14,0,1
1374,1,15,0,1
1230,1,16,0,1
241,0,0,1,1
31,0,1,1,1
26,0,2,1,1
62,0,3,1,1
41,0,4,1,1
21,0,5,1,1
31,0,6,1,1
28,0,7,1,1
25,0,8,1,1
23,0,9,1,1
12,0,10,1,1
3,0,11,1,1
5,0,12,1,1
3,0,13,1,1
1,0,14,1,1
4,0,15,1,1
0,0,16,1,1
311,1,0,1,1
40,1,1,1,1
20,1,2,1,1
62,1,3,1,1
36,1,4,1,1
37,1,5,1,1
33,1,6,1,1
31,1,7,1,1
19,1,8,1,1
20,1,9,1,1
9,1,10,1,1
7,1,11,1,1
4,1,12,1,1
3,1,13,1,1
1,1,14,1,1
4,1,15,1,1
1,1,16,1,1
424,0,0,2,1
55,0,1,2,1
34,0,2,2,1
80,0,3,2,1
106,0,4,2,1
171,0,5,2,1
158,0,6,2,1
156,0,7,2,1
103,0,8,2,1
86,0,9,2,1
77,0,10,2,1
48,0,11,2,1
30,0,12,2,1
20,0,13,2,1
12,0,14,2,1
10,0,15,2,1
6,0,16,2,1
349,1,0,2,1
36,1,1,2,1
43,1,2,2,1
