N,age,constituency,ethnicity,sex
9488,Age 15 and below,E14000530,white,male
1240,Age 16 to 17,E14000530,white,male
1103,Age 18 to 19,E14000530,white,male
3283,Age 20 to 24,E14000530,white,male
3429,Age 25 to 29,E14000530,white,male
3454,Age 30 to 34,E14000530,white,male
3688,Age 35 to 39,E14000530,white,male
3786,Age 40 to 44,E14000530,white,male
3814,Age 45 to 49,E14000530,white,male
3184,Age 50 to 54,E14000530,white,male
2596,Age 55 to 59,E14000530,white,male
2728,Age 60 to 64,E14000530,white,male
2016,Age 65 to 69,E14000530,white,male
1646,Age 70 to 74,E14000530,white,male
1152,Age 75 to 79,E14000530,white,male
797,Age 80 to 84,E14000530,white,male
571,Age 85 and over,E14000530,white,male
9070,Age 15 and below,E14000530,white,female
1185,Age 16 to 17,E14000530,white,female
1050,Age 18 to 19,E14000530,white,female
2998,Age 20 to 24,E14000530,white,female
3417,Age 25 to 29,E14000530,white,female
3501,Age 30 to 34,E14000530,white,female
3696,Age 35 to 39,E14000530,white,female
3761,Age 40 to 44,E14000530,white,female
3868,Age 45 to 49,E14000530,white,female
3069,Age 50 to 54,E14000530,white,female
2669,Age 55 to 59,E14000530,white,female
2730,Age 60 to 64,E14000530,white,female
2256,Age 65 to 69,E14000530,white,female
1734,Age 70 to 74,E14000530,white,female
1369,Age 75 to 79,E14000530,white,female
1135,Age 80 to 84,E14000530,white,female
1267,Age 85 and over,E14000530,white,female
498,Age 15 and below,E14000530,mixed,male
64,Age 16 to 17,E14000530,mixed,male
70,Age 18 to 19,E14000530,mixed,male
107,Age 20 to 24,E14000530,mixed,male
74,Age 25 to 29,E14000530,mixed,male
105,Age 30 to 34,E14000530,mixed,male
76,Age 35 to 39,E14000530,mixed,male
75,Age 40 to 44,E14000530,mixed,male
49,Age 45 to 49,E14000530,mixed,male
40,Age 50 to 54,E14000530,mixed,male
18,Age 55 to 59,E14000530,mixed,male
16,Age 60 to 64,E14000530,mixed,male
16,Age 65 to 69,E14000530,mixed,male
16,Age 70 to 74,E14000530,mixed,male
1,Age 75 to 79,E14000530,mixed,male
6,Age 80 to 84,E14000530,mixed,male
1,Age 85 and over,E14000530,mixed,male
480,Age 15 and below,E14000530,mixed,female
55,Age 16 to 17,E14000530,mixed,female
32,Age 18 to 19,E14000530,mixed,female
94,Age 20 to 24,E14000530,mixed,female
81,Age 25 to 29,E14000530,mixed,female
76,Age 30 to 34,E14000530,mixed,female
83,Age 35 to 39,E14000530,mixed,female
59,Age 40 to 44,E14000530,mixed,female
46,Age 45 to 49,E14000530,mixed,female
22,Age 50 to 54,E14000530,mixed,female
11,Age 55 to 59,E14000530,mixed,female
18,Age 60 to 64,E14000530,mixed,female
14,Age 65 to 69,E14000530,mixed,female
12,Age 70 to 74,E14000530,mixed,female
10,Age 75 to 79,E14000530,mixed,female
4,Age 80 to 84,E14000530,mixed,female
2,Age 85 and over,E14000530,mixed,female
1168,Age 15 and below,E14000530,asian,male
195,Age 16 to 17,E14000530,asian,male
159,Age 18 to 19,E14000530,asian,male
481,Age 20 to 24,E14000530,asian,male
404,Age 25 to 29,E14000530,asian,male
468,Age 30 to 34,E14000530,asian,male
440,Age 35 to 39,E14000530,asian,male
485,Age 40 to 44,E14000530,asian,male
412,Age 45 to 49,E14000530,asian,male
274,Age 50 to 54,E14000530,asian,male
154,Age 55 to 59,E14000530,asian,male
185,Age 60 to 64,E14000530,asian,male
178,Age 65 to 69,E14000530,asian,male
107,Age 70 to 74,E14000530,asian,male
47,Age 75 to 79,E14000530,asian,male
20,Age 80 to 84,E14000530,asian,male
4,Age 85 and over,E14000530,asian,male
1071,Age 15 and below,E14000530,asian,female
202,Age 16 to 17,E14000530,asian,female
182,Age 18 to 19,E14000530,asian,female
483,Age 20 to 24,E14000530,asian,female
486,Age 25 to 29,E14000530,asian,female
499,Age 30 to 34,E14000530,asian,female
552,Age 35 to 39,E14000530,asian,female
474,Age 40 to 44,E14000530,asian,female
335,Age 45 to 49,E14000530,asian,female
236,Age 50 to 54,E14000530,asian,female
199,Age 55 to 59,E14000530,asian,female
174,Age 60 to 64,E14000530,asian,female
108,Age 65 to 69,E14000530,asian,female
70,Age 70 to 74,E14000530,asian,female
36,Age 75 to 79,E14000530,asian,female
18,Age 80 to 84,E14000530,asian,female
