PA_ID,self_employ_income_mean,self_employ_income_median,employ_income_mean,employ_income_median,income_mean,income_median
50,16400,13100,25000,19100,28600,21000
66,18700,11300,23800,20600,26900,21000
72,15100,11600,25700,21500,25800,20300
73,13600,10700,23300,19900,24000,19700
214,20100,13700,28200,21800,30000,22300
176,15500,11400,24000,19200,24900,19300
221,17400,11300,23000,19100,24200,19500
259,14200,12200,23200,19600,23600,19300
296,16600,11100,24900,21100,26100,21200
312,24100,12200,27800,20700,33400,22600
320,18100,14800,24200,19500,25500,20500
337,16300,11300,23500,20000,24600,20100
394,12800,11400,21600,18000,22900,19000
395,16500,12000,25500,20900,26700,21700
414,18700,10600,28200,19700,30200,19700
415,19600,11900,27400,21800,29700,22600
416,22200,11500,26200,20900,27900,21700
215,16000,12200,23900,20700,24000,19700
583,15000,10100,24400,20500,25100,20700
216,19100,12700,24400,20100,25800,20100
466,15800,11300,24200,19600,24200,18700
499,13800,10200,24900,20400,27000,21600
522,15200,10600,24200,19800,26100,21000
535,18200,12600,25400,20200,27100,21100
536,21100,12100,27600,21900,29500,22200
551,14100,11700,24500,21600,25000,21200
582,20600,10800,27900,22900,29600,23700
596,19300,15700,24300,19300,25800,20400
603,19000,14700,23300,20300,24600,20600
9,37100,13200,40100,23800,46300,27600
21,14100,11900,22600,19700,23700,19500
31,15600,10600,25300,21600,27200,22400
56,16200,12500,24100,18900,25400,19200
67,13900,11900,20600,17600,22500,18900
68,13800,11300,21400,17500,23300,18200
69,17600,11200,21600,17800,22200,18000
70,12100,11100,21400,17100,22400,17700
76,22900,16700,23400,19400,25200,19700
77,15600,12500,22800,19500,23200,19400
78,26500,12800,26700,21600,30100,22200
79,17600,14200,21800,18500,22500,19000
109,15100,12400,23500,19900,24600,20500
111,17700,11200,24700,20600,27100,21500
112,18300,12400,24100,19700,26900,20900
130,16000,12600,23200,19900,24100,19000
138,23300,11300,30300,22000,34500,25100
149,15500,11900,25600,20600,28200,22200
143,18700,11100,28100,20100,30800,23100
159,16500,11900,31100,22000,33300,22400
160,15700,11400,29800,22500,31400,24800
169,17300,10400,26900,21300,28500,22200
180,15400,11700,23500,20700,24700,21300
227,22000,11800,30400,21000,35500,24200
234,12600,10400,27200,21700,29300,23200
256,18500,10400,28100,21400,30200,21800
258,22900,11900,26800,19200,29100,20700
285,15900,11400,24800,20700,26100,21100
301,17500,12500,26900,22200,29700,23300
313,15600,12100,24800,20300,26400,20600
327,14600,12000,22300,19400,23400,19700
346,15000,12500,24100,21400,23700,19600
350,15600,11900,23500,19100,26500,21100
361,15600,12600,23300,19800,24900,20500
370,19900,10900,25600,21500,27400,21500
371,13600,12500,21900,18800,22100,18800
372,17700,11200,24200,20100,25800,21100
373,23000,11400,24700,22000,25500,21400
382,23700,13100,32000,21500,35700,24300
385,14900,12200,23400,20200,24300,20100
387,23700,12300,23500,19700,26000,20200
388,11600,10400,22500,19100,23600,20100
389,22500,10900,29800,22700,33100,24400
404,15500,11800,23300,18400,25700,20100
439,20600,12200,26300,20400,28700,21200
440,14400,11400,22100,18400,23200,18800
447,19000,12500,22400,18700,25300,19000
449,13800,11700,22000,17400,26500,21600
460,12000,11100,21400,18600,22100,18600
471,18400,11200,25900,19700,30000,21400
474,14900,11300,22300,18700,23600,18800
480,17800,12500,25800,20900,27500,20900
495,16200,14700,24300,20700,25700,20900
500,21100,11500,29400,21700,32600,23500
521,19800,10200,25300,20100,27700,21100
526,21200,13500,24000,18900,27000,20500
492,16900,14900,24000,20600,25200,20800
493,19900,14000,25500,22000,26500,21900
531,20600,14100,23300,19100,25000,19400
534,18800,13200,25600,21000,27400,21300
545,19000,12300,26000,21000,27900,22400
563,28000,12400,39700,21500,50400,26500
592,14600,11900,22700,18900,23500,19100
599,18000,11900,24600,19900,26900,20500
600,23500,12700,30300,22600,33300,23800
607,20000,11800,29100,19900,31300,21400
349,24200,9300,25500,20000,29300,21200
616,17500,12100,21700,17100,27800,21300
618,17500,14300,23100,18900,24300,19400
624,22700,10400,27500,22500,30700,24800
625,25400,10800,28200,22000,30200,21700
636,15900,11700,24700,19400,26500,20500
637,22500,12100,25800,21200,27800,22400
643,18500,12400,27300,21400,29300,22100
645,17500,11400,24900,20200,27200,21100
29,18200,15200,23500,20100,23900,19900
30,16500,14700,22400,19000,23400,19400
37,15100,11600,24600,20600,25600,20400
53,17600,13900,24300,19200,27900,21100
85,14400,10500,22500,19500,23600,19700
86,14500,12900,21500,19200,22700,19400
87,15300,12000,22000,18300,23600,19400
96,17700,12700,26200,21100,27200,21200
116,16200,11900,27100,21600,29000,22000
153,17200,10900,25600,20900,27900,21800
158,19000,12000,26400,19700,28900,21300
193,19700,13300,25200,20300,28500,20700
194,18600,12700,24300,19400,25900,19900
195,19300,15100,22700,18300,24100,19000
196,12900,12000,22800,18300,24800,18500
650,16800,12100,22500,18100,26400,20300
235,26600,11500,29300,22100,34200,23900
276,12400,11000,21700,18900,23300,19900
283,14900,11800,24400,20300,25400,20300
284,20600,13300,28800,20000,32700,23500
293,23700,12100,28700,20500,34600,23400
303,18400,12500,23800,21000,25800,21500
322,17500,11400,22700,18800,24900,19900
338,23500,12200,25900,20200,29700,21300
323,13700,13200,22000,19000,22700,19000
324,16100,13600,22500,19100,23700,19600
325,14100,11800,22100,18600,23500,19400
351,18400,12700,22300,19200,22800,19100
352,14400,12600,21200,18200,22200,17800
353,24300,12200,30300,23500,34200,25600
354,24700,11100,30400,24800,33600,25300
355,15100,12700,22900,19800,23200,19800
405,16600,12700,26800,22200,27900,22700
426,17300,14500,23100,20000,24200,19900
448,21100,11400,26700,22100,29300,22600
461,24100,13600,27800,23200,29800,23900
472,19100,12300,26000,21500,30000,22400
481,15200,10800,24300,19700,26200,20400
482,16300,13000,22500,18900,23100,18800
497,14500,11100,21900,17000,25800,19400
498,19400,11400,23600,19600,25000,19800
501,22100,12000,29400,22000,33700,24100
504,33300,10600,24200,20200,28300,20900
507,17900,15100,22900,20100,23300,19400
503,15000,12200,22100,19600,22800,19800
505,33100,11700,30900,23300,36900,26000
506,14100,12300,22900,19000,23700,19000
509,24600,11800,28100,21700,31300,23200
513,21400,12400,27100,19700,32100,22400
569,18700,10800,25300,19400,30300,21800
591,15600,13800,24600,20800,26200,21300
611,15700,11600,23000,20000,23900,20100
648,18900,12500,24600,19900,26400,20200
649,18800,11200,29100,22100,31600,23900
11,16500,12700,24100,20600,25100,20100
19,15500,14000,22200,19500,23100,19300
35,18400,12100,25600,19800,27400,20600
75,17200,12500,22000,18300,23600,18600
80,19400,11600,20300,17000,22900,17800
81,17400,10500,27400,21400,30100,22200
107,19600,13800,27000,22200,28600,22500
136,24800,13900,27800,22400,31100,23400
144,17600,14000,23700,20000,25600,20600
161,19300,12900,25900,19100,28700,21000
178,25500,13600,32200,22300,36700,24600
181,16400,11800,25900,20300,27400,20700
182,14000,10300,23500,19500,23800,18500
183,20800,11200,31600,20800,37100,24100
241,18900,13300,24800,20700,25500,20600
257,16500,9710,26900,23000,30100,24700
260,15200,11800,23400,20300,25700,21600
274,18900,12100,27400,19500,30200,21900
291,21500,12800,27300,20300,30200,21600
314,18200,12600,26100,20600,29600,23200
341,19500,13000,25900,20700,27800,21100
356,14400,11600,20000,17500,21700,17700
357,14900,8720,23400,18900,25800,20500
358,13900,11600,21300,19600,21700,19300
368,14800,11300,23500,20000,25100,21300
377,15000,11100,26700,20700,28500,21500
378,18200,10600,22300,17300,25300,19300
390,15300,13300,22200,17600,23600,18800
184,19300,14800,30000,23500,30100,22100
411,21200,11100,25700,18000,30000,21100
185,15200,12700,25900,21400,27600,21300
359,17100,12400,28400,20900,30500,23200
427,18300,14500,23600,19900,25100,20800
428,17900,14200,23200,19400,25100,20200
432,13500,9670,24300,19900,25300,19500
433,15000,14000,20700,18700,21200,18400
434,17800,11000,27400,19900,28500,20200
486,20200,11700,33600,23500,36500,26400
488,20500,12500,31000,21500,34600,23400
508,17300,12600,25700,21100,27600,21500
514,17200,12800,26400,21300,29100,22800
186,17100,12900,28500,21900,31100,23600
520,20700,13200,23700,19100,26000,19900
360,21200,14100,27700,21700,30200,22500
429,24100,11700,34100,22400,38000,24100
608,13700,12200,24800,20300,26600,21000
8,15100,13100,26100,21100,27000,21100
57,27300,9960,28200,21700,32400,22900
58,16900,14200,21700,19400,21700,18700
59,25300,11000,25100,19800,28000,20600
60,13500,11200,20700,18600,21000,17600
61,23800,10000,24400,17800,26400,18600
62,17700,14400,23200,19700,24000,19700
63,9910,10100,21500,18800,22100,18600
64,22200,14500,25900,22000,26900,21200
65,17100,14700,23000,20600,23400,20300
105,23300,11500,30100,21700,35000,24900
110,16900,13300,24900,19000,27000,20500
124,17700,14700,23700,20800,24600,20000
165,14900,12600,22800,19300,23300,19100
166,15800,12600,25200,22000,25300,21000
167,16200,11200,26100,21000,27400,21300
204,15800,12800,21900,18900,22900,18800
205,14900,12000,23700,20600,24600,20800
282,16900,16500,24100,20600,24800,20100
306,17300,10500,22800,18500,26200,19700
339,21800,11000,35200,24400,39700,26300
367,15400,12100,30500,21500,32600,23700
379,20800,12100,25900,19900,31100,22600
392,22500,12500,29900,21900,33000,23300
634,18500,11200,28900,20400,31500,21200
413,18200,14400,23000,18600,24400,19300
307,17900,11700,24600,19000,29400,22100
511,19300,11800,23400,18000,27100,19600
602,15900,14500,25200,20100,27200,21200
435,19700,12500,24800,21100,26600,21400
467,22700,11100,25300,20400,27800,21200
483,16400,10600,27700,22100,28800,22300
510,17200,11200,26300,21200,29500,22100
516,28300,14600,31400,23000,34000,24400
530,19200,11500,26100,21000,29300,21800
528,15900,11200,25200,20700,27500,21500
529,16900,10500,25100,20600,28500,22900
537,14700,12500,21800,18900,21800,18600
538,15300,13600,21000,18300,21200,17800
539,15700,11600,21100,18500,21600,18000
540,20100,11500,28100,21600,32400,23000
541,18000,12700,25400,21900,27000,22200
543,21400,9700,33300,21000,38200,24400
557,27200,12600,32000,24900,34900,25400
562,21700,12200,26200,21200,29900,22100
565,15800,12500,23400,19600,24300,19700
640,13700,10900,26400,19400,28700,21000
593,16200,14300,21100,18800,22000,18900
594,18900,14300,23400,17900,25100,18400
598,13200,11000,22500,19300,22600,18800
601,19900,11500,32400,23500,35100,25400
612,11100,11600,22300,20100,22400,19000
613,12300,12900,22600,19100,22300,18400
635,19700,12000,28300,19600,31900,22300
630,13200,14200,21000,18300,21100,17600
631,14700,12300,21400,19500,21200,18600
632,21100,13000,25000,20300,27500,20900
633,16500,12600,27100,21000,29000,22500
644,17000,12600,24100,19300,26500,20500
32,21300,14000,34000,21900,35700,24000
41,20100,14100,25200,20500,27100,21100
88,21700,13800,29800,21500,32500,23000
93,21600,12700,43200,26900,45300,28100
103,18900,11400,24600,18000,29000,21600
106,24600,14200,30100,20400,33200,22600
113,19100,12600,27800,22700,30600,24100
119,31100,6410,34100,23200,39700,25400
134,16200,13600,30700,24200,29900,23500
547,19900,12500,30600,22700,33200,24200
139,28600,12800,33200,24600,35900,26000
152,15800,11900,20700,17100,22900,18100
157,16600,12400,27200,21200,28500,21900
239,31400,14600,37800,24200,45500,27700
277,14500,11000,23300,18600,24900,18700
292,17500,14000,26500,20900,27900,21400
297,18900,13800,28700,20000,31300,21500
302,20100,14300,32500,24800,34600,25300
308,24700,12600,36900,24600,41300,27700
311,41500,14900,34900,23100,42000,26500
315,60800,12200,44500,27000,51400,29200
326,23300,14800,28300,21100,31500,22600
332,15500,13200,24200,19600,25300,19900
380,17400,13600,25100,21000,26300,21800
381,15900,13000,24200,20600,25700,21000
386,21300,12700,30600,21300,33900,24000
42,21700,12600,33300,25300,37000,27500
421,17100,11300,25000,18800,28000,20300
43,21800,13600,32500,23900,35300,25700
120,17700,14400,24600,20700,26400,21700
309,32500,14300,36200,23000,40800,24800
422,21400,11200,22600,17300,26300,19100
121,21100,13900,28600,21700,32100,22700
423,21600,11800,23800,18800,26800,19700
430,14800,12600,23500,20200,24600,19900
431,20800,13200,25300,20900,27100,20900
451,18200,13200,21900,18400,23700,18800
463,20000,14600,32800,25100,34100,25000
476,18300,14700,28200,23000,29500,23500
489,30700,14100,39700,24200,45000,27700
33,17700,15400,26500,20500,28100,22000
122,29300,11600,37400,25500,42500,27500
123,20700,11600,30700,23400,34200,24900
424,18600,12600,27000,21200,30100,22600
549,19700,13200,29500,20700,31600,22200
44,19000,16200,28700,23400,29900,23400
310,36500,14900,46000,26300,53900,31000
425,17400,14300,22800,18900,25200,19700
525,19400,13200,33600,23800,34600,24500
490,34200,12600,42200,27200,45800,30700
532,21500,13900,28000,23300,29500,22900
548,22600,11500,26500,20600,31900,22500
571,17800,14200,27100,22400,27800,22700
604,20700,15800,29300,21900,31600,24000
605,19100,13300,23800,20400,25300,20600
610,23100,11600,30600,22600,34600,25900
550,24200,14300,25400,19900,29000,21100
626,26200,12000,33600,22600,36400,24400
28,17400,15800,24800,21800,25800,22300
38,60200,10900,56700,32700,62700,34800
40,28000,13600,39300,27500,42700,29600
49,30900,12200,41500,27500,44700,28300
52,23200,13200,33900,25100,36000,26000
55,16000,13300,29400,25200,29300,23800
90,19800,14400,26500,21000,28500,22100
91,17000,14400,26000,20400,28200,21800
92,41700,14700,40700,26200,46000,27900
104,26600,16300,38500,26000,40600,28400
117,21800,14700,30200,24800,32300,25800
133,21500,16900,31200,26300,32400,25900
140,114000,15100,90200,31600,117000,36000
146,24400,15400,33300,23700,35800,25300
148,28300,13200,37600,25200,43500,28700
151,157000,20100,101000,34200,127000,40800
170,19300,13200,30000,26200,31900,26200
171,14400,12300,27600,23300,28300,23100
172,26100,15000,36300,25800,37800,26800
175,18900,16500,24900,21200,25800,21100
206,41700,13200,40200,26900,45400,28600
218,34600,15300,40500,26000,44500,27500
219,16100,13000,27500,22600,28800,23100
220,24400,17000,28100,22200,30400,23300
222,15500,14000,24500,20000,25200,20000
233,15700,13000,24500,21400,25600,21800
236,21600,14300,32400,25800,35100,25600
237,22500,13000,29600,24900,31500,25500
238,35100,15100,36600,25400,43100,28800
242,15300,13500,26200,23300,26500,23000
248,17300,12500,25800,22000,27200,22700
252,52300,12800,46500,25400,57000,28500
278,24400,13200,36400,24400,38300,24700
280,22000,13300,31600,24500,34200,25200
281,27600,13200,36100,25600,40100,26700
286,33800,12000,47200,26400,52000,28000
290,110000,14700,67000,30900,86400,35500
294,24900,14500,31200,24000,36100,25000
295,23600,15400,31500,24600,34000,25900
300,16600,12900,26200,22900,26900,22600
304,24600,14800,30700,21100,36500,24000
316,92500,17700,46700,26500,60500,29400
317,25500,16300,33800,25300,35000,25300
318,38400,12800,43300,27000,51100,29900
328,20800,16000,31400,23800,33000,25100
329,17900,14200,27400,22000,28700,23000
334,34500,15400,41100,28200,44800,29100
335,80200,15000,57100,31100,69900,34000
