Constituency,Self employment income mean,Self employment income median,Employment income mean,Employment income median,Pension income mean,Pension income median,Total income mean,Total income median
Berwick-upon-Tweed,16400,13100,25000,19100,17200,15500,28600,21000
Bishop Auckland,18700,11300,23800,20600,15200,13600,26900,21000
Blaydon,15100,11600,25700,21500,14600,12900,25800,20300
Blyth Valley,13600,10700,23300,19900,13400,12500,24000,19700
City of Durham,20100,13700,28200,21800,16700,14400,30000,22300
Darlington,15500,11400,24000,19200,13800,13200,24900,19300
Easington,17400,11300,23000,19100,11600,11200,24200,19500
Gateshead,14200,12200,23200,19600,12500,12200,23600,19300
Hartlepool,16600,11100,24900,21100,14900,14600,26100,21200
Hexham,24100,12200,27800,20700,18800,14300,33400,22600
Houghton and Sunderland South,18100,14800,24200,19500,14500,14600,25500,20500
Jarrow,16300,11300,23500,20000,14200,12800,24600,20100
Middlesbrough,12800,11400,21600,18000,15300,14600,22900,19000
Middlesbrough South and East Cleveland,16500,12000,25500,20900,15800,14600,26700,21700
Newcastle upon Tyne Central,18700,10600,28200,19700,16200,12900,30200,19700
Newcastle upon Tyne East,19600,11900,27400,21800,16500,14600,29700,22600
Newcastle upon Tyne North,22200,11500,26200,20900,15400,14700,27900,21700
North Durham,16000,12200,23900,20700,14100,12800,24000,19700
North Tyneside,15000,10100,24400,20500,14800,14100,25100,20700
North West Durham,19100,12700,24400,20100,15000,13800,25800,20100
Redcar,15800,11300,24200,19600,14900,14700,24200,18700
Sedgefield,13800,10200,24900,20400,15000,12500,27000,21600
South Shields,15200,10600,24200,19800,13200,12300,26100,21000
Stockton North,18200,12600,25400,20200,14400,13800,27100,21100
Stockton South,21100,12100,27600,21900,15300,14000,29500,22200
Sunderland Central,14100,11700,24500,21600,14500,12700,25000,21200
Tynemouth,20600,10800,27900,22900,16300,13700,29600,23700
Wansbeck,19300,15700,24300,19300,16000,14700,25800,20400
Washington and Sunderland West,19000,14700,23300,20300,13800,13700,24600,20600
Altrincham and Sale West,37100,13200,40100,23800,19200,14600,46300,27600
Ashton-under-Lyne,14100,11900,22600,19700,14200,13000,23700,19500
Barrow and Furness,15600,10600,25300,21600,14300,13300,27200,22400
Birkenhead,16200,12500,24100,18900,15000,13900,25400,19200
Blackburn,13900,11900,20600,17600,14800,13300,22500,18900
Blackley and Broughton,13800,11300,21400,17500,13500,12000,23300,18200
Blackpool North and Cleveleys,17600,11200,21600,17800,13900,12700,22200,18000
Blackpool South,12100,11100,21400,17100,14200,12600,22400,17700
Bolton North East,22900,16700,23400,19400,16100,13900,25200,19700
Bolton South East,15600,12500,22800,19500,13100,12300,23200,19400
Bolton West,26500,12800,26700,21600,15300,13000,30100,22200
Bootle,17600,14200,21800,18500,13900,13500,22500,19000
Burnley,15100,12400,23500,19900,13900,12800,24600,20500
Bury North,17700,11200,24700,20600,16400,15200,27100,21500
Bury South,18300,12400,24100,19700,16700,14500,26900,20900
Carlisle,16000,12600,23200,19900,13800,12500,24100,19000
Cheadle,23300,11300,30300,22000,18600,15400,34500,25100
Chorley,15500,11900,25600,20600,16400,14000,28200,22200
City of Chester,18700,11100,28100,20100,18700,15100,30800,23100
Congleton,16500,11900,31100,22000,16600,14100,33300,22400
Copeland,15700,11400,29800,22500,16500,13600,31400,24800
Crewe and Nantwich,17300,10400,26900,21300,15000,14100,28500,22200
Denton and Reddish,15400,11700,23500,20700,15000,14000,24700,21300
Eddisbury,22000,11800,30400,21000,18800,13800,35500,24200
Ellesmere Port and Neston,12600,10400,27200,21700,16600,14300,29300,23200
Fylde,18500,10400,28100,21400,18000,15500,30200,21800
Garston and Halewood,22900,11900,26800,19200,14500,11900,29100,20700
Halton,15900,11400,24800,20700,14200,13800,26100,21100
Hazel Grove,17500,12500,26900,22200,17500,16300,29700,23300
Heywood and Middleton,15600,12100,24800,20300,14700,12500,26400,20600
Hyndburn,14600,12000,22300,19400,14000,14400,23400,19700
Knowsley,15000,12500,24100,21400,13100,12800,23700,19600
Lancaster and Fleetwood,15600,11900,23500,19100,14600,13500,26500,21100
Leigh,15600,12600,23300,19800,14900,14300,24900,20500
Liverpool Riverside,19900,10900,25600,21500,14500,13000,27400,21500
Liverpool Walton,13600,12500,21900,18800,11700,11800,22100,18800
Liverpool Wavertree,17700,11200,24200,20100,15400,13600,25800,21100
Liverpool West Derby,23000,11400,24700,22000,12900,13300,25500,21400
Macclesfield,23700,13100,32000,21500,19200,15300,35700,24300
Makerfield,14900,12200,23400,20200,13400,12400,24300,20100
Manchester Central,23700,12300,23500,19700,13100,12700,26000,20200
Manchester Gorton,11600,10400,22500,19100,15400,14400,23600,20100
Manchester Withington,22500,10900,29800,22700,16600,12800,33100,24400
Morecambe and Lunesdale,15500,11800,23300,18400,15200,12800,25700,20100
Oldham East and Saddleworth,20600,12200,26300,20400,15900,14100,28700,21200
Oldham West and Royton,14400,11400,22100,18400,13000,12700,23200,18800
