PA_ID,electorate,votes,non_votes,con_votes,lab_votes,libdem_votes,green_votes,ukip_votes,plaid_votes,other_votes
1,50838,30958,19880,4411,16073,5034,0,489,2198,2753
2,44593,29966,14627,10734,7336,5786,0,632,5341,137
7,71465,45384,26081,21203,5489,15617,0,2041,0,1034
8,58909,38634,20275,22913,7647,6833,847,0,0,394
9,72208,49393,22815,24176,11073,12581,0,1563,0,0
10,60931,39923,21008,12885,15804,7308,0,1009,1549,1368
11,70171,45958,24213,17746,17210,6636,0,906,0,3460
16,41198,26078,15120,4416,7928,3666,0,685,9383,0
18,76835,55982,20853,32333,4835,15642,0,3172,0,0
19,77379,48196,29183,10698,16239,16047,0,933,0,4279
20,81271,55185,26086,29878,9204,12581,1014,2508,0,0
21,67714,38432,29282,9510,18604,5703,0,1686,0,2929
22,77844,53162,24682,27736,6695,15118,0,3613,0,0
26,84379,56241,28138,29703,10773,11476,959,2806,0,524
28,73868,45343,28525,8073,24628,3719,317,1300,0,7306
29,65543,37001,28542,6388,17487,6394,0,1727,0,5005
30,68435,38386,30049,6329,18059,6969,0,1731,0,5298
31,68943,44124,24819,16018,21226,4424,530,841,0,1085
32,65515,41569,23946,21922,9584,6538,0,1591,0,1934
33,71874,44735,27139,19624,13852,5977,0,2639,0,2643
34,75473,50654,24819,25590,10327,12414,0,2076,0,247
35,76513,49577,26936,16803,25018,5570,0,1779,0,407
36,66686,47086,19600,14768,3251,26651,1120,890,0,406
37,76738,51109,25629,17159,21565,8095,605,0,0,3685
38,74311,48792,25519,23103,17126,7176,559,505,0,323
39,74982,52490,22492,32053,6135,10271,768,2597,0,666
40,66219,47686,18533,27597,6893,9813,608,1551,0,1224
41,68530,45102,23428,17546,16193,8957,393,1136,0,877
42,76310,54897,21413,28815,8108,13663,773,2826,0,712
43,78060,55552,22508,30989,8957,12047,0,2294,0,1265
44,76559,50774,25785,26815,9948,10166,0,2142,0,1703
49,77628,44651,32977,7638,13060,21590,718,0,0,1645
50,56578,38439,18139,14116,5061,16806,0,1243,0,1213
52,81243,50728,30515,7071,21784,10210,856,0,0,10807
53,79318,53199,26119,25063,11224,12076,686,1845,0,2305
54,81032,54587,26445,28147,6524,15267,0,0,0,4649
55,65015,43182,21833,21794,11450,5502,371,1557,0,2508
