population_size,sex,age,ethnicity,region,constituency_id
9488,0,0,0,6,7
1240,0,1,0,6,7
1103,0,2,0,6,7
3283,0,3,0,6,7
3429,0,4,0,6,7
3454,0,5,0,6,7
3688,0,6,0,6,7
3786,0,7,0,6,7
3814,0,8,0,6,7
3184,0,9,0,6,7
2596,0,10,0,6,7
2728,0,11,0,6,7
2016,0,12,0,6,7
1646,0,13,0,6,7
1152,0,14,0,6,7
797,0,15,0,6,7
571,0,16,0,6,7
9070,1,0,0,6,7
1185,1,1,0,6,7
1050,1,2,0,6,7
2998,1,3,0,6,7
3417,1,4,0,6,7
3501,1,5,0,6,7
3696,1,6,0,6,7
3761,1,7,0,6,7
3868,1,8,0,6,7
3069,1,9,0,6,7
2669,1,10,0,6,7
2730,1,11,0,6,7
2256,1,12,0,6,7
1734,1,13,0,6,7
1369,1,14,0,6,7
1135,1,15,0,6,7
1267,1,16,0,6,7
498,0,0,1,6,7
64,0,1,1,6,7
70,0,2,1,6,7
107,0,3,1,6,7
74,0,4,1,6,7
105,0,5,1,6,7
76,0,6,1,6,7
75,0,7,1,6,7
49,0,8,1,6,7
40,0,9,1,6,7
18,0,10,1,6,7
16,0,11,1,6,7
16,0,12,1,6,7
16,0,13,1,6,7
1,0,14,1,6,7
6,0,15,1,6,7
1,0,16,1,6,7
480,1,0,1,6,7
55,1,1,1,6,7
32,1,2,1,6,7
94,1,3,1,6,7
81,1,4,1,6,7
76,1,5,1,6,7
83,1,6,1,6,7
59,1,7,1,6,7
46,1,8,1,6,7
22,1,9,1,6,7
11,1,10,1,6,7
18,1,11,1,6,7
14,1,12,1,6,7
12,1,13,1,6,7
10,1,14,1,6,7
4,1,15,1,6,7
2,1,16,1,6,7
1168,0,0,2,6,7
195,0,1,2,6,7
159,0,2,2,6,7
481,0,3,2,6,7
404,0,4,2,6,7
468,0,5,2,6,7
440,0,6,2,6,7
485,0,7,2,6,7
412,0,8,2,6,7
274,0,9,2,6,7
154,0,10,2,6,7
185,0,11,2,6,7
178,0,12,2,6,7
107,0,13,2,6,7
47,0,14,2,6,7
20,0,15,2,6,7
4,0,16,2,6,7
1071,1,0,2,6,7
202,1,1,2,6,7
182,1,2,2,6,7
483,1,3,2,6,7
486,1,4,2,6,7
499,1,5,2,6,7
552,1,6,2,6,7
474,1,7,2,6,7
335,1,8,2,6,7
236,1,9,2,6,7
199,1,10,2,6,7
174,1,11,2,6,7
108,1,12,2,6,7
70,1,13,2,6,7
36,1,14,2,6,7
18,1,15,2,6,7
11,1,16,2,6,7
242,0,0,3,6,7
21,0,1,3,6,7
25,0,2,3,6,7
76,0,3,3,6,7
148,0,4,3,6,7
181,0,5,3,6,7
114,0,6,3,6,7
83,0,7,3,6,7
67,0,8,3,6,7
42,0,9,3,6,7
16,0,10,3,6,7
14,0,11,3,6,7
10,0,12,3,6,7
14,0,13,3,6,7
5,0,14,3,6,7
1,0,15,3,6,7
1,0,16,3,6,7
236,1,0,3,6,7
15,1,1,3,6,7
19,1,2,3,6,7
59,1,3,3,6,7
120,1,4,3,6,7
150,1,5,3,6,7
102,1,6,3,6,7
72,1,7,3,6,7
72,1,8,3,6,7
44,1,9,3,6,7
19,1,10,3,6,7
24,1,11,3,6,7
11,1,12,3,6,7
11,1,13,3,6,7
7,1,14,3,6,7
1,1,15,3,6,7
3,1,16,3,6,7
60,0,0,4,6,7
13,0,1,4,6,7
8,0,2,4,6,7
38,0,3,4,6,7
36,0,4,4,6,7
53,0,5,4,6,7
49,0,6,4,6,7
20,0,7,4,6,7
25,0,8,4,6,7
13,0,9,4,6,7
17,0,10,4,6,7
13,0,11,4,6,7
11,0,12,4,6,7
2,0,13,4,6,7
4,0,14,4,6,7
2,0,15,4,6,7
0,0,16,4,6,7
57,1,0,4,6,7
10,1,1,4,6,7
13,1,2,4,6,7
36,1,3,4,6,7
35,1,4,4,6,7
30,1,5,4,6,7
37,1,6,4,6,7
26,1,7,4,6,7
17,1,8,4,6,7
11,1,9,4,6,7
9,1,10,4,6,7
6,1,11,4,6,7
6,1,12,4,6,7
4,1,13,4,6,7
1,1,14,4,6,7
0,1,15,4,6,7
1,1,16,4,6,7
6222,0,0,0,9,8
931,0,1,0,9,8
815,0,2,0,9,8
1887,0,3,0,9,8
1743,0,4,0,9,8
1631,0,5,0,9,8
2047,0,6,0,9,8
2710,0,7,0,9,8
2811,0,8,0,9,8
2427,0,9,0,9,8
2088,0,10,0,9,8
2465,0,11,0,9,8
2222,0,12,0,9,8
1932,0,13,0,9,8
1456,0,14,0,9,8
990,0,15,0,9,8
644,0,16,0,9,8
5861,1,0,0,9,8
869,1,1,0,9,8
745,1,2,0,9,8
1691,1,3,0,9,8
1737,1,4,0,9,8
1646,1,5,0,9,8
2150,1,6,0,9,8
2783,1,7,0,9,8
2837,1,8,0,9,8
2546,1,9,0,9,8
2058,1,10,0,9,8
2578,1,11,0,9,8
2561,1,12,0,9,8
2189,1,13,0,9,8
1809,1,14,0,9,8
1374,1,15,0,9,8
1230,1,16,0,9,8
241,0,0,1,9,8
31,0,1,1,9,8
26,0,2,1,9,8
62,0,3,1,9,8
41,0,4,1,9,8
21,0,5,1,9,8
31,0,6,1,9,8
28,0,7,1,9,8
25,0,8,1,9,8
23,0,9,1,9,8
12,0,10,1,9,8
3,0,11,1,9,8
5,0,12,1,9,8
3,0,13,1,9,8
1,0,14,1,9,8
4,0,15,1,9,8
0,0,16,1,9,8
311,1,0,1,9,8
40,1,1,1,9,8
20,1,2,1,9,8
62,1,3,1,9,8
36,1,4,1,9,8
37,1,5,1,9,8
33,1,6,1,9,8
31,1,7,1,9,8
19,1,8,1,9,8
20,1,9,1,9,8
9,1,10,1,9,8
7,1,11,1,9,8
4,1,12,1,9,8
3,1,13,1,9,8
1,1,14,1,9,8
4,1,15,1,9,8
1,1,16,1,9,8
424,0,0,2,9,8
55,0,1,2,9,8
34,0,2,2,9,8
80,0,3,2,9,8
106,0,4,2,9,8
171,0,5,2,9,8
158,0,6,2,9,8
156,0,7,2,9,8
103,0,8,2,9,8
86,0,9,2,9,8
77,0,10,2,9,8
48,0,11,2,9,8
30,0,12,2,9,8
20,0,13,2,9,8
12,0,14,2,9,8
10,0,15,2,9,8
6,0,16,2,9,8
349,1,0,2,9,8
36,1,1,2,9,8
43,1,2,2,9,8
90,1,3,2,9,8
141,1,4,2,9,8
182,1,5,2,9,8
153,1,6,2,9,8
149,1,7,2,9,8
89,1,8,2,9,8
89,1,9,2,9,8
79,1,10,2,9,8
49,1,11,2,9,8
32,1,12,2,9,8
15,1,13,2,9,8
17,1,14,2,9,8
10,1,15,2,9,8
8,1,16,2,9,8
75,0,0,3,9,8
17,0,1,3,9,8
16,0,2,3,9,8
13,0,3,3,9,8
31,0,4,3,9,8
22,0,5,3,9,8
26,0,6,3,9,8
48,0,7,3,9,8
57,0,8,3,9,8
41,0,9,3,9,8
19,0,10,3,9,8
6,0,11,3,9,8
1,0,12,3,9,8
3,0,13,3,9,8
5,0,14,3,9,8
