population_size,sex,age,ethnicity,pa_id
9488,male,Age 15 and below,white,7
1240,male,Age 16 to 17,white,7
1103,male,Age 18 to 19,white,7
3283,male,Age 20 to 24,white,7
3429,male,Age 25 to 29,white,7
3454,male,Age 30 to 34,white,7
3688,male,Age 35 to 39,white,7
3786,male,Age 40 to 44,white,7
3814,male,Age 45 to 49,white,7
3184,male,Age 50 to 54,white,7
2596,male,Age 55 to 59,white,7
2728,male,Age 60 to 64,white,7
2016,male,Age 65 to 69,white,7
1646,male,Age 70 to 74,white,7
1152,male,Age 75 to 79,white,7
797,male,Age 80 to 84,white,7
571,male,Age 85 and over,white,7
9070,female,Age 15 and below,white,7
1185,female,Age 16 to 17,white,7
1050,female,Age 18 to 19,white,7
2998,female,Age 20 to 24,white,7
3417,female,Age 25 to 29,white,7
3501,female,Age 30 to 34,white,7
3696,female,Age 35 to 39,white,7
3761,female,Age 40 to 44,white,7
3868,female,Age 45 to 49,white,7
3069,female,Age 50 to 54,white,7
2669,female,Age 55 to 59,white,7
2730,female,Age 60 to 64,white,7
2256,female,Age 65 to 69,white,7
1734,female,Age 70 to 74,white,7
1369,female,Age 75 to 79,white,7
1135,female,Age 80 to 84,white,7
1267,female,Age 85 and over,white,7
498,male,Age 15 and below,mixed,7
64,male,Age 16 to 17,mixed,7
70,male,Age 18 to 19,mixed,7
107,male,Age 20 to 24,mixed,7
74,male,Age 25 to 29,mixed,7
105,male,Age 30 to 34,mixed,7
76,male,Age 35 to 39,mixed,7
75,male,Age 40 to 44,mixed,7
49,male,Age 45 to 49,mixed,7
40,male,Age 50 to 54,mixed,7
18,male,Age 55 to 59,mixed,7
16,male,Age 60 to 64,mixed,7
16,male,Age 65 to 69,mixed,7
16,male,Age 70 to 74,mixed,7
1,male,Age 75 to 79,mixed,7
6,male,Age 80 to 84,mixed,7
1,male,Age 85 and over,mixed,7
480,female,Age 15 and below,mixed,7
55,female,Age 16 to 17,mixed,7
32,female,Age 18 to 19,mixed,7
94,female,Age 20 to 24,mixed,7
81,female,Age 25 to 29,mixed,7
76,female,Age 30 to 34,mixed,7
83,female,Age 35 to 39,mixed,7
59,female,Age 40 to 44,mixed,7
46,female,Age 45 to 49,mixed,7
22,female,Age 50 to 54,mixed,7
11,female,Age 55 to 59,mixed,7
18,female,Age 60 to 64,mixed,7
14,female,Age 65 to 69,mixed,7
12,female,Age 70 to 74,mixed,7
10,female,Age 75 to 79,mixed,7
4,female,Age 80 to 84,mixed,7
2,female,Age 85 and over,mixed,7
1168,male,Age 15 and below,asian,7
195,male,Age 16 to 17,asian,7
159,male,Age 18 to 19,asian,7
481,male,Age 20 to 24,asian,7
404,male,Age 25 to 29,asian,7
468,male,Age 30 to 34,asian,7
440,male,Age 35 to 39,asian,7
485,male,Age 40 to 44,asian,7
412,male,Age 45 to 49,asian,7
274,male,Age 50 to 54,asian,7
154,male,Age 55 to 59,asian,7
185,male,Age 60 to 64,asian,7
178,male,Age 65 to 69,asian,7
107,male,Age 70 to 74,asian,7
47,male,Age 75 to 79,asian,7
20,male,Age 80 to 84,asian,7
4,male,Age 85 and over,asian,7
1071,female,Age 15 and below,asian,7
202,female,Age 16 to 17,asian,7
182,female,Age 18 to 19,asian,7
483,female,Age 20 to 24,asian,7
486,female,Age 25 to 29,asian,7
499,female,Age 30 to 34,asian,7
552,female,Age 35 to 39,asian,7
474,female,Age 40 to 44,asian,7
335,female,Age 45 to 49,asian,7
236,female,Age 50 to 54,asian,7
199,female,Age 55 to 59,asian,7
174,female,Age 60 to 64,asian,7
108,female,Age 65 to 69,asian,7
70,female,Age 70 to 74,asian,7
36,female,Age 75 to 79,asian,7
18,female,Age 80 to 84,asian,7
11,female,Age 85 and over,asian,7
242,male,Age 15 and below,black,7
21,male,Age 16 to 17,black,7
25,male,Age 18 to 19,black,7
76,male,Age 20 to 24,black,7
148,male,Age 25 to 29,black,7
181,male,Age 30 to 34,black,7
114,male,Age 35 to 39,black,7
83,male,Age 40 to 44,black,7
67,male,Age 45 to 49,black,7
42,male,Age 50 to 54,black,7
16,male,Age 55 to 59,black,7
14,male,Age 60 to 64,black,7
10,male,Age 65 to 69,black,7
14,male,Age 70 to 74,black,7
5,male,Age 75 to 79,black,7
1,male,Age 80 to 84,black,7
1,male,Age 85 and over,black,7
236,female,Age 15 and below,black,7
15,female,Age 16 to 17,black,7
19,female,Age 18 to 19,black,7
59,female,Age 20 to 24,black,7
120,female,Age 25 to 29,black,7
150,female,Age 30 to 34,black,7
102,female,Age 35 to 39,black,7
72,female,Age 40 to 44,black,7
72,female,Age 45 to 49,black,7
44,female,Age 50 to 54,black,7
19,female,Age 55 to 59,black,7
24,female,Age 60 to 64,black,7
11,female,Age 65 to 69,black,7
11,female,Age 70 to 74,black,7
7,female,Age 75 to 79,black,7
1,female,Age 80 to 84,black,7
3,female,Age 85 and over,black,7
60,male,Age 15 and below,other,7
13,male,Age 16 to 17,other,7
8,male,Age 18 to 19,other,7
38,male,Age 20 to 24,other,7
36,male,Age 25 to 29,other,7
53,male,Age 30 to 34,other,7
49,male,Age 35 to 39,other,7
20,male,Age 40 to 44,other,7
25,male,Age 45 to 49,other,7
13,male,Age 50 to 54,other,7
17,male,Age 55 to 59,other,7
13,male,Age 60 to 64,other,7
11,male,Age 65 to 69,other,7
2,male,Age 70 to 74,other,7
4,male,Age 75 to 79,other,7
2,male,Age 80 to 84,other,7
0,male,Age 85 and over,other,7
57,female,Age 15 and below,other,7
10,female,Age 16 to 17,other,7
13,female,Age 18 to 19,other,7
36,female,Age 20 to 24,other,7
35,female,Age 25 to 29,other,7
30,female,Age 30 to 34,other,7
37,female,Age 35 to 39,other,7
26,female,Age 40 to 44,other,7
17,female,Age 45 to 49,other,7
11,female,Age 50 to 54,other,7
9,female,Age 55 to 59,other,7
6,female,Age 60 to 64,other,7
6,female,Age 65 to 69,other,7
4,female,Age 70 to 74,other,7
1,female,Age 75 to 79,other,7
0,female,Age 80 to 84,other,7
1,female,Age 85 and over,other,7
6222,male,Age 15 and below,white,8
931,male,Age 16 to 17,white,8
815,male,Age 18 to 19,white,8
1887,male,Age 20 to 24,white,8
1743,male,Age 25 to 29,white,8
1631,male,Age 30 to 34,white,8
2047,male,Age 35 to 39,white,8
2710,male,Age 40 to 44,white,8
2811,male,Age 45 to 49,white,8
2427,male,Age 50 to 54,white,8
2088,male,Age 55 to 59,white,8
2465,male,Age 60 to 64,white,8
2222,male,Age 65 to 69,white,8
1932,male,Age 70 to 74,white,8
1456,male,Age 75 to 79,white,8
990,male,Age 80 to 84,white,8
644,male,Age 85 and over,white,8
5861,female,Age 15 and below,white,8
